AL, D1, 2010080106, 01, CARQ, -24,  86N,  332W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  NGX,  84, 144N,  326W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  NGX,  96, 143N,  352W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  NGX, 108, 146N,  372W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  NGX, 120, 149N,  392W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  NGX, 132, 152N,  411W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  NGX, 144, 158N,  426W,  39, 1004, XX,  34, NEQ,    0,   75,    0,    0, 
AL, D1, 2010090800, 03,  UKX,   0, 139N,  225W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  UKX,  12, 147N,  248W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  UKX,  24, 147N,  267W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  UKX,  36, 148N,  298W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  UKX,  48, 149N,  323W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  UKX,  60, 149N,  346W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03,  UKX,  72, 151N,  363W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,   0, 138N,  211W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,   6, 138N,  222W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  12, 134N,  233W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  18, 130N,  241W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  24, 127N,  251W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  30, 126N,  260W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  36, 120N,  271W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  42, 121N,  293W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  48, 118N,  316W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  54, 119N,  328W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  60, 120N,  340W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  66, 120N,  349W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  72, 121N,  351W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  78, 120N,  359W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  84, 118N,  367W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  90, 131N,  362W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AC00,  96, 135N,  362W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,   0, 142N,  213W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  12, 142N,  234W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  24, 142N,  260W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  36, 145N,  292W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  48, 149N,  325W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  60, 155N,  358W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  72, 161N,  390W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  84, 168N,  421W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI,  96, 175N,  451W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI, 108, 180N,  478W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI, 120, 186N,  502W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI, 132, 192N,  523W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI, 144, 200N,  542W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI, 156, 209N,  558W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMI, 168, 218N,  569W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,   0, 137N,  211W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,   6, 136N,  222W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  12, 135N,  234W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  18, 131N,  243W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  24, 129N,  255W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  30, 128N,  266W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  36, 126N,  281W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  42, 128N,  296W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  48, 129N,  309W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  54, 129N,  322W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  60, 131N,  336W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  66, 134N,  349W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  72, 138N,  360W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  78, 141N,  371W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  84, 143N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  90, 148N,  398W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN,  96, 150N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 102, 153N,  418W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 108, 156N,  430W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 114, 161N,  445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 120, 164N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 126, 165N,  466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 132, 168N,  478W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 138, 171N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 144, 174N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 150, 177N,  503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 156, 181N,  511W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 162, 185N,  519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 168, 188N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 174, 191N,  533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 180, 195N,  540W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 186, 200N,  547W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 192, 203N,  551W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 198, 206N,  557W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 204, 211N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 210, 216N,  570W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 216, 221N,  574W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 222, 224N,  580W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 228, 230N,  586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 234, 238N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AEMN, 240, 250N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,   0, 139N,  210W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,   6, 139N,  220W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  12, 138N,  231W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  18, 133N,  239W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  24, 130N,  254W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  30, 130N,  269W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  36, 129N,  287W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  42, 130N,  304W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  48, 130N,  320W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  54, 130N,  331W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  60, 130N,  347W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  66, 130N,  360W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  72, 130N,  371W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  78, 130N,  382W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  84, 131N,  395W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  90, 137N,  403W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01,  96, 136N,  414W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 102, 138N,  426W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 108, 139N,  439W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 114, 141N,  449W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 120, 143N,  454W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 126, 143N,  465W,  29, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 132, 148N,  472W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 138, 153N,  478W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 144, 160N,  480W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 150, 167N,  485W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 156, 172N,  495W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 162, 172N,  503W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 168, 178N,  509W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 174, 179N,  511W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 180, 180N,  520W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 186, 189N,  521W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 192, 188N,  519W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 198, 189N,  527W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 204, 199N,  530W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 210, 205N,  534W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 216, 210N,  539W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 222, 215N,  549W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 228, 223N,  559W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 234, 235N,  565W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP01, 240, 244N,  570W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,   0, 139N,  212W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,   6, 138N,  224W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  12, 139N,  238W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  18, 139N,  249W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  24, 135N,  260W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  30, 137N,  274W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  36, 138N,  295W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  42, 139N,  311W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  48, 140N,  329W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  54, 140N,  343W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  60, 141N,  360W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  66, 143N,  373W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  72, 143N,  386W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  78, 146N,  399W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  84, 150N,  411W,  34, 1006, XX,  34, NEQ,    0,    0,    0,   81, 
AL, D1, 2010090800, 03, AP02,  90, 153N,  426W,  32, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02,  96, 157N,  438W,  35, 1006, XX,  34, NEQ,    0,    0,    0,   91, 
AL, D1, 2010090800, 03, AP02, 102, 158N,  450W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 108, 159N,  462W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 114, 160N,  475W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 120, 162N,  483W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 126, 164N,  494W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 132, 168N,  506W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 138, 170N,  519W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 144, 173N,  528W,  36, 1004, XX,  34, NEQ,    0,    0,    0,  120, 
AL, D1, 2010090800, 03, AP02, 150, 178N,  541W,  37, 1000, XX,  34, NEQ,  136,    0,    0,   96, 
AL, D1, 2010090800, 03, AP02, 156, 180N,  551W,  39, 1001, XX,  34, NEQ,  155,   89,    0,  134, 
AL, D1, 2010090800, 03, AP02, 162, 183N,  564W,  40,  999, XX,  34, NEQ,  142,  127,    0,  126, 
AL, D1, 2010090800, 03, AP02, 168, 187N,  574W,  39,  998, XX,  34, NEQ,  145,   94,    0,  140, 
AL, D1, 2010090800, 03, AP02, 174, 188N,  583W,  41,  996, XX,  34, NEQ,  161,   98,    0,  142, 
AL, D1, 2010090800, 03, AP02, 180, 190N,  590W,  46,  997, XX,  34, NEQ,  168,  105,    0,  155, 
AL, D1, 2010090800, 03, AP02, 186, 196N,  600W,  44,  995, XX,  34, NEQ,  134,  149,    0,  144, 
AL, D1, 2010090800, 03, AP02, 192, 199N,  603W,  46,  994, XX,  34, NEQ,  163,  104,  113,  144, 
AL, D1, 2010090800, 03, AP02, 198, 201N,  611W,  46,  992, XX,  34, NEQ,  171,  137,  113,  146, 
AL, D1, 2010090800, 03, AP02, 204, 209N,  620W,  46,  994, XX,  34, NEQ,  167,  134,  118,  129, 
AL, D1, 2010090800, 03, AP02, 210, 212N,  628W,  44,  993, XX,  34, NEQ,  173,  135,   77,  129, 
AL, D1, 2010090800, 03, AP02, 216, 220N,  630W,  50,  992, XX,  34, NEQ,  165,  129,  128,  149, 
AL, D1, 2010090800, 03, AP02, 222, 221N,  637W,  50,  990, XX,  34, NEQ,  227,  155,   90,  138, 
AL, D1, 2010090800, 03, AP02, 222, 221N,  637W,  50,  990, XX,  50, NEQ,  107,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 228, 229N,  641W,  51,  992, XX,  34, NEQ,  220,  154,  133,  193, 
AL, D1, 2010090800, 03, AP02, 228, 229N,  641W,  51,  992, XX,  50, NEQ,   93,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 234, 239N,  646W,  52,  989, XX,  34, NEQ,  188,  161,  122,  186, 
AL, D1, 2010090800, 03, AP02, 234, 239N,  646W,  52,  989, XX,  50, NEQ,  107,    0,    0,    0, 
AL, D1, 2010090800, 03, AP02, 240, 248N,  651W,  60,  990, XX,  34, NEQ,  209,  179,  120,  218, 
AL, D1, 2010090800, 03, AP02, 240, 248N,  651W,  60,  990, XX,  50, NEQ,  104,    0,    0,   97, 
AL, D1, 2010090800, 03, AP03,   0, 137N,  214W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,   6, 135N,  225W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  12, 131N,  238W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  18, 129N,  251W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  24, 128N,  269W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  30, 123N,  280W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  36, 119N,  296W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  42, 120N,  310W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  48, 120N,  317W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  54, 123N,  327W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  60, 125N,  345W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  66, 122N,  366W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  72, 121N,  374W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  78, 124N,  381W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  84, 125N,  388W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  90, 128N,  393W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03,  96, 129N,  395W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03, 102, 138N,  392W,  23, 1002, XX,  34, NEQ,  625,    0,    0,    0, 
AL, D1, 2010090800, 03, AP03, 108, 146N,  395W,  24, 1002, XX,  34, NEQ,  337,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,   0, 131N,  210W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,   6, 130N,  220W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  12, 128N,  233W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  18, 121N,  241W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  24, 120N,  249W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  30, 120N,  259W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  36, 119N,  270W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  42, 120N,  282W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  48, 129N,  291W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  54, 131N,  302W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  60, 140N,  319W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  66, 145N,  333W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  72, 150N,  349W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  78, 153N,  365W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  84, 159N,  380W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  90, 163N,  395W,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04,  96, 166N,  406W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 102, 170N,  420W,  31, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 108, 177N,  433W,  35, 1003, XX,  34, NEQ,  135,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 114, 180N,  449W,  33,  999, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 120, 182N,  459W,  36, 1000, XX,  34, NEQ,  165,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 126, 189N,  470W,  39,  997, XX,  34, NEQ,  179,  128,    0,  125, 
AL, D1, 2010090800, 03, AP04, 132, 191N,  482W,  41,  998, XX,  34, NEQ,  216,  182,    0,  131, 
AL, D1, 2010090800, 03, AP04, 138, 199N,  493W,  44,  996, XX,  34, NEQ,  211,  172,    0,  139, 
AL, D1, 2010090800, 03, AP04, 144, 207N,  502W,  47,  998, XX,  34, NEQ,  196,  163,    0,  147, 
AL, D1, 2010090800, 03, AP04, 150, 211N,  515W,  45,  995, XX,  34, NEQ,  224,  197,    0,  178, 
AL, D1, 2010090800, 03, AP04, 156, 219N,  525W,  47,  997, XX,  34, NEQ,  207,  163,    0,  190, 
AL, D1, 2010090800, 03, AP04, 162, 225N,  536W,  50,  995, XX,  34, NEQ,  210,  199,    0,  172, 
AL, D1, 2010090800, 03, AP04, 168, 228N,  545W,  53,  995, XX,  34, NEQ,  205,  158,    0,  169, 
AL, D1, 2010090800, 03, AP04, 168, 228N,  545W,  53,  995, XX,  50, NEQ,  117,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 174, 230N,  555W,  50,  993, XX,  34, NEQ,  206,  208,    0,  173, 
AL, D1, 2010090800, 03, AP04, 174, 230N,  555W,  50,  993, XX,  50, NEQ,  107,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 180, 232N,  566W,  52,  993, XX,  34, NEQ,  217,  200,    0,  170, 
AL, D1, 2010090800, 03, AP04, 180, 232N,  566W,  52,  993, XX,  50, NEQ,  115,    0,    0,    0, 
AL, D1, 2010090800, 03, AP04, 186, 238N,  575W,  51,  992, XX,  34, NEQ,  204,  199,  127,  159, 
