AL, B8, 2010083106, 03, AP02,  24,  92N,  343W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP02,  30, 104N,  362W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP09,   0,  90N,  280W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP09,   6,  87N,  292W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP11,   0,  90N,  281W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP11,   6,  88N,  300W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP15,   0,  90N,  281W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP15,   6,  89N,  296W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP20,   0,  89N,  288W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP20,   6,  84N,  304W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP20,  12,  90N,  316W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  12, 106N,  302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  24, 111N,  322W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  36, 117N,  342W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  48, 124N,  357W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  60, 129N,  369W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  72, 134N,  381W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  84, 141N,  396W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD,  96, 149N,  415W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD, 108, 157N,  435W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD, 120, 163N,  457W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD, 132, 168N,  479W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD, 144, 170N,  504W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD, 156, 169N,  530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMD, 168, 166N,  558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  12, 107N,  303W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  24, 112N,  325W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  36, 118N,  345W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  48, 121N,  361W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  60, 124N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  72, 123N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  84, 126N,  401W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM,  96, 128N,  418W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM, 108, 131N,  438W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM, 120, 133N,  461W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM, 132, 135N,  486W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
