AL, D5, 2010122018, 03, LBAR,  60, 198N,  525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  72, 218N,  483W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  84, 259N,  428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  96, 276N,  375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR, 108, 292N,  331W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,   0, 116N,  551W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  12, 120N,  565W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  24, 125N,  582W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  36, 130N,  596W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  48, 136N,  609W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  60, 141N,  619W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  72, 148N,  625W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  84, 159N,  623W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM,  96, 176N,  607W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM, 108, 200N,  552W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LGEM, 120, 222N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, NGPS,   0, 108N,  550W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  12,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  24,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  36,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  48,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  60,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
