EP, A6, 2010071118, 03, IVCN,  72,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  84,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  96,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN, 108,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN, 120,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,   0, 120N,  925W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  12, 122N,  944W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  24, 127N,  968W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  36, 130N,  995W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  48, 134N, 1025W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  60, 139N, 1059W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  72, 148N, 1095W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  84, 156N, 1130W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR,  96, 163N, 1162W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR, 108, 156N, 1182W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LBAR, 120, 115N, 1161W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,   0, 120N,  925W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  12, 124N,  949W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  24, 128N,  972W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  36, 131N,  992W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
