AL, C4, 2010091812, 03, AP01,  18, 138N,  316W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  24, 140N,  327W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  30, 147N,  327W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  36, 154N,  335W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  42, 152N,  340W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  48, 153N,  344W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  54, 157N,  348W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  60, 159N,  351W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  66, 160N,  353W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  72, 159N,  359W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  78, 161N,  364W,  17, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  84, 157N,  367W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  90, 161N,  378W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  96, 164N,  385W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 102, 163N,  399W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 108, 166N,  405W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 114, 170N,  414W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 120, 172N,  420W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 126, 172N,  438W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 132, 177N,  443W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 138, 176N,  451W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01, 144, 170N,  456W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,   0, 129N,  281W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,   6, 136N,  295W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  12, 138N,  308W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  18, 143N,  317W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  24, 146N,  329W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  30, 147N,  333W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  36, 151N,  340W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  42, 151N,  349W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  48, 157N,  350W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  54, 159N,  351W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  60, 159N,  353W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  66, 163N,  355W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  72, 167N,  358W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  78, 168N,  363W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  84, 169N,  369W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02,  90, 170N,  379W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
