EP, A0, 2010052518, 03, AP08, 120, 216N,  750W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 126, 220N,  749W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 132, 226N,  747W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 138, 229N,  745W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 144, 230N,  742W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 150, 230N,  739W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 156, 229N,  738W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 162, 229N,  736W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 168, 229N,  736W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 174, 232N,  739W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 180, 228N,  736W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 186, 229N,  731W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 192, 231N,  734W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 198, 234N,  741W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 204, 230N,  733W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 210, 228N,  749W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 216, 230N,  761W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 222, 230N,  756W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 228, 227N,  755W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 234, 235N,  752W,  12, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,   0, 125N,  890W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,   6, 128N,  892W,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  12, 121N,  897W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  18, 120N,  908W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  24, 118N,  910W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  30, 113N,  920W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  36, 111N,  928W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  42, 108N,  939W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  48, 102N,  949W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  54, 103N,  941W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  60, 109N,  939W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  66, 117N,  934W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  72, 122N,  931W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  78, 128N,  928W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  84, 129N,  921W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
