AL, C3, 2010080600, 01, CARQ, -24, 115N,  367W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00,  84, 304N,  506W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00,  90, 313N,  494W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00,  96, 319N,  483W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 102, 325N,  473W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 108, 334N,  465W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 114, 344N,  452W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 120, 356N,  443W,  22, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 126, 362N,  432W,  24, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 132, 373N,  423W,  23, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 138, 382N,  407W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 144, 392N,  399W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AC00, 150, 401N,  389W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,   0, 231N,  462W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  12, 239N,  486W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  24, 250N,  506W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  36, 265N,  519W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  48, 277N,  528W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  60, 290N,  530W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  72, 307N,  521W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  84, 321N,  504W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI,  96, 337N,  482W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI, 108, 356N,  459W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI, 120, 376N,  434W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMI, 132, 396N,  406W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,   0, 221N,  461W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,   6, 220N,  471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  12, 224N,  482W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  18, 227N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  24, 229N,  503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  30, 233N,  513W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  36, 241N,  521W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  42, 250N,  525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  48, 258N,  528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  54, 264N,  531W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  60, 275N,  529W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  66, 285N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  72, 292N,  522W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  78, 301N,  516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  84, 310N,  509W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  90, 320N,  499W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN,  96, 327N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 102, 335N,  477W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 108, 344N,  465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 114, 354N,  453W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 120, 365N,  437W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 126, 374N,  424W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 132, 387N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 138, 396N,  396W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 144, 405N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 150, 426N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AEMN, 156, 441N,  370W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,   0, 223N,  464W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,   6, 225N,  478W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  12, 228N,  489W,  22, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  18, 230N,  500W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  24, 233N,  510W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  30, 240N,  521W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  36, 247N,  529W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  42, 257N,  530W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  48, 270N,  530W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  54, 280N,  532W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  60, 290N,  532W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  66, 296N,  532W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  72, 301N,  527W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  78, 309N,  519W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  84, 319N,  512W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  90, 330N,  500W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01,  96, 340N,  486W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 102, 351N,  473W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 108, 366N,  457W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 114, 382N,  438W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 120, 397N,  419W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 126, 410N,  403W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 132, 422N,  388W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 138, 436N,  378W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 144, 449N,  363W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 150, 469N,  362W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 156, 497N,  370W,  34, 1006, XX,  34, NEQ,  156,  200,    0,    0, 
AL, C3, 2010080900, 03, AP01, 162, 530N,  361W,  35, 1008, XX,  34, NEQ,    0,  160,    0,    0, 
AL, C3, 2010080900, 03, AP01, 168, 558N,  333W,  36, 1011, XX,  34, NEQ,    0,  158,    0,    0, 
AL, C3, 2010080900, 03, AP01, 174, 586N,  304W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP01, 180, 610N,  257W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,   0, 218N,  462W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,   6, 220N,  472W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  12, 226N,  484W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  18, 220N,  496W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  24, 224N,  504W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  30, 230N,  510W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  36, 238N,  515W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  42, 246N,  518W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  48, 262N,  515W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  54, 263N,  518W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  60, 271N,  518W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  66, 281N,  515W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  72, 284N,  509W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  78, 286N,  505W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  84, 292N,  498W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  90, 300N,  489W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02,  96, 305N,  485W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02, 102, 308N,  481W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02, 108, 310N,  469W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02, 114, 314N,  461W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02, 120, 318N,  451W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP02, 126, 321N,  443W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP03,   0, 218N,  458W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP03,   6, 215N,  469W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP03,  12, 215N,  478W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,   0, 220N,  460W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,   6, 217N,  469W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  12, 226N,  480W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  18, 223N,  494W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  24, 208N,  497W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  30, 196N,  501W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  36, 206N,  512W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  42, 212N,  513W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  48, 209N,  525W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  54, 221N,  529W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  60, 232N,  534W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  66, 247N,  532W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP04,  72, 256N,  535W,  11, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,   0, 221N,  461W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,   6, 222N,  471W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  12, 224N,  483W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  18, 222N,  498W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  24, 222N,  504W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  30, 229N,  517W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  36, 237N,  524W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  42, 242N,  530W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  48, 251N,  532W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  54, 256N,  539W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  60, 265N,  538W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  66, 274N,  533W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  72, 282N,  528W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  78, 289N,  523W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  84, 296N,  515W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  90, 307N,  506W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05,  96, 319N,  498W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 102, 323N,  486W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 108, 323N,  472W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 114, 329N,  459W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 120, 333N,  447W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 126, 338N,  437W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 132, 341N,  435W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 138, 348N,  425W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP05, 144, 351N,  421W,  13, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,   0, 220N,  461W,  22, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,   6, 201N,  467W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  12, 201N,  477W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  18, 208N,  491W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  24, 210N,  502W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  30, 212N,  515W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  36, 221N,  523W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  42, 227N,  536W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  48, 230N,  540W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP06,  54, 241N,  541W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP07,   0, 217N,  462W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP07,   6, 215N,  472W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP07,  12, 217N,  486W,  20, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,   0, 221N,  458W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,   6, 222N,  468W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  12, 227N,  478W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  18, 230N,  489W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  24, 232N,  497W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  30, 241N,  505W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  36, 242N,  514W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  42, 255N,  520W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  48, 261N,  522W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  54, 269N,  525W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  60, 276N,  525W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  66, 280N,  522W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  72, 290N,  512W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  78, 295N,  500W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  84, 301N,  490W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  90, 310N,  481W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08,  96, 314N,  470W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 102, 320N,  465W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 108, 327N,  460W,  22, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 114, 331N,  451W,  22, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 120, 332N,  443W,  20, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 126, 336N,  441W,  23, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 132, 342N,  437W,  24, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 138, 348N,  433W,  24, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 144, 351N,  430W,  22, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 150, 355N,  431W,  24, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 156, 356N,  419W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP08, 162, 367N,  423W,  23, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,   0, 225N,  472W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,   6, 209N,  477W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  12, 211N,  488W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  18, 216N,  502W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  24, 218N,  515W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  30, 228N,  525W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  36, 233N,  536W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  42, 239N,  543W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  48, 248N,  549W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  54, 257N,  553W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  60, 271N,  549W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  66, 286N,  545W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  72, 292N,  542W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  78, 299N,  539W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  84, 304N,  533W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  90, 313N,  523W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09,  96, 321N,  510W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 102, 332N,  497W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 108, 342N,  484W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 114, 352N,  472W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 120, 362N,  455W,  29, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 126, 369N,  440W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 132, 375N,  424W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 138, 382N,  405W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 144, 389N,  388W,  34, 1010, XX,  34, NEQ,   87,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 150, 396N,  377W,  36, 1006, XX,  34, NEQ,   84,  136,    0,    0, 
AL, C3, 2010080900, 03, AP09, 156, 407N,  371W,  38, 1007, XX,  34, NEQ,  113,  107,    0,    0, 
AL, C3, 2010080900, 03, AP09, 162, 420N,  371W,  38, 1004, XX,  34, NEQ,  145,  152,    0,    0, 
AL, C3, 2010080900, 03, AP09, 168, 439N,  373W,  44, 1002, XX,  34, NEQ,  186,  195,    0,    0, 
AL, C3, 2010080900, 03, AP09, 174, 471N,  361W,  51, 1000, XX,  34, NEQ,  137,  248,   77,    0, 
AL, C3, 2010080900, 03, AP09, 174, 471N,  361W,  51, 1000, XX,  50, NEQ,    0,   90,    0,    0, 
AL, C3, 2010080900, 03, AP09, 180, 499N,  352W,  47,  998, XX,  34, NEQ,  202,  279,    0,    0, 
AL, C3, 2010080900, 03, AP09, 186, 530N,  343W,  44,  996, XX,  34, NEQ,  198,  262,    0,    0, 
AL, C3, 2010080900, 03, AP09, 192, 558N,  343W,  40,  993, XX,  34, NEQ,  245,  304,    0,    0, 
AL, C3, 2010080900, 03, AP09, 198, 578N,  343W,  32,  991, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080900, 03, AP09, 204, 587N,  349W,  38,  988, XX,  34, NEQ,    0,  191,   89,  328, 
AL, C3, 2010080900, 03, AP09, 210, 597N,  334W,  41,  986, XX,  34, NEQ,  322,  195,  228,  333, 
AL, C3, 2010080900, 03, AP09, 210, 597N,  334W,  41,  986, XX,  50, NEQ,    0,    0,    0,  320, 
AL, C3, 2010080900, 03, AP09, 216, 610N,  318W,  41,  988, XX,  34, NEQ,  308,  247,  289,  321, 
