AL, C1, 2010080106, 03, AP11,  30, 105N,  389W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP11,  36, 111N,  405W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,   0,  97N,  361W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,   6,  98N,  360W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,  12, 108N,  349W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,  18, 110N,  355W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,  24, 115N,  363W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,  30, 112N,  379W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,  36, 105N,  412W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP12,  42, 100N,  430W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,   0, 103N,  349W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,   6, 104N,  349W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  12, 104N,  339W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  18, 103N,  335W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  24, 110N,  349W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  30, 110N,  377W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  36, 111N,  407W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  42, 111N,  426W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP13,  48, 116N,  449W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,   0,  97N,  353W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,   6, 102N,  346W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  12, 108N,  352W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  18, 110N,  364W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  24, 118N,  374W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  30, 121N,  390W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  36, 129N,  409W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  42, 139N,  433W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  48, 148N,  457W,  32, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  54, 162N,  481W,  33, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  60, 171N,  509W,  32, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  66, 187N,  535W,  32, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  72, 205N,  554W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  78, 211N,  578W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  84, 220N,  598W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  90, 234N,  610W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14,  96, 246N,  623W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 102, 257N,  636W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 108, 269N,  641W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 114, 273N,  652W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 120, 287N,  649W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 126, 294N,  647W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 132, 300N,  645W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 138, 306N,  633W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 144, 302N,  647W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 150, 310N,  645W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 156, 318N,  643W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 162, 320N,  642W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 168, 327N,  642W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 174, 327N,  640W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 180, 332N,  639W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 186, 341N,  635W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 192, 343N,  627W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 198, 347N,  621W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 204, 360N,  610W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 210, 363N,  593W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 216, 367N,  573W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 222, 378N,  558W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 228, 396N,  530W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 234, 409N,  517W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP14, 240, 421N,  502W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,   0,  98N,  357W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,   6, 100N,  356W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  12, 103N,  357W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  18, 108N,  370W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  24, 105N,  379W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  30, 102N,  392W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  36, 106N,  409W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  42, 109N,  430W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP15,  48, 121N,  450W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,   0,  97N,  350W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,   6, 100N,  350W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  12, 100N,  356W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  18, 100N,  351W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  24, 106N,  344W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  30, 121N,  360W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  36, 128N,  383W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  42, 133N,  409W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  48, 141N,  433W,  35, 1009, XX,  34, NEQ,   70,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  54, 149N,  460W,  39, 1012, XX,  34, NEQ,  101,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  60, 158N,  485W,  35, 1010, XX,  34, NEQ,   79,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  66, 169N,  512W,  33, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
