AL, B7, 2010082612, 03, SHF5,  36,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  48,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  60,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  72,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  84,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  96,   0N,    0W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5, 108,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5, 120,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHFR,  12,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHFR,  24,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHFR,  36,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHFR,  48,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHFR,  60,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHFR,  72,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,   0, 115N,  190W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  12, 118N,  214W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  24, 125N,  241W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  36, 133N,  271W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  48, 143N,  303W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  60, 152N,  337W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  72, 162N,  374W,  65,    0,   ,   0,    ,    0,    0,    0,    0, 
