AL, A7, 2010071906, 03, XTRP, 108, 282N,  837W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP, 120, 292N,  862W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP, 132, 302N,  887W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP, 144, 313N,  912W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP, 156, 323N,  938W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP, 168, 333N,  963W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 01, CARQ, -24, 174N,  586W,  20,    0, WV,  34, AAA,    0,    0,    0,    0, 
AL, A7, 2010071912, 01, CARQ, -18, 181N,  601W,  20,    0, WV,  34, AAA,    0,    0,    0,    0, 
AL, A7, 2010071912, 01, CARQ, -12, 185N,  614W,  20,    0, WV,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 289,  14, 
AL, A7, 2010071912, 01, CARQ,  -6, 190N,  630W,  25,    0, WV,  34, AAA,    0,    0,    0,    0, 
AL, A7, 2010071912, 01, CARQ,   0, 192N,  650W,  25, 1014, WV,  34, NEQ,    0,    0,    0,    0, 1017,  175,  75,   0,   0,   L,   0,   X, 285,  16,     INVEST, S, 
AL, A7, 2010071912, 01, CARQ,   0, 192N,  650W,  25, 1014, WV,  50, NEQ,    0,    0,    0,    0, 1017,  175,  75,   0,   0,   L,   0,   X, 285,  16,     INVEST, S, 
AL, A7, 2010071912, 01, CARQ,   0, 192N,  650W,  25, 1014, WV,  64, NEQ,    0,    0,    0,    0, 1017,  175,  75,   0,   0,   L,   0,   X, 285,  16,     INVEST, S, 
AL, A7, 2010071912, 03,  CMC,   0, 180N,  666W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03,  CMC,   6, 189N,  685W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03,  NGX,   0, 189N,  670W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03,  NGX,  12, 196N,  707W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03,  NGX,  24, 202N,  746W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03,  UKX,   0, 196N,  665W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03,  UKX,  12, 194N,  709W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  12, 198N,  668W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  24, 203N,  686W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  36, 207N,  703W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  48, 208N,  719W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  60, 209N,  734W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  72, 212N,  749W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  84, 215N,  765W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD,  96, 219N,  781W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071912, 03, BAMD, 108, 224N,  799W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
