AL, E3, 2010080600, 03, AP01, 228, 480N,  426W,  51,  982, XX,  50, NEQ,    0,   94,    0,  100, 
AL, E3, 2010080600, 03, AP01, 234, 489N,  433W,  52,  982, XX,  34, NEQ,  173,  199,  189,  306, 
AL, E3, 2010080600, 03, AP01, 234, 489N,  433W,  52,  982, XX,  50, NEQ,   95,  106,    0,    0, 
AL, E3, 2010080600, 03, AP01, 240, 494N,  440W,  43,  987, XX,  34, NEQ,  186,  199,    0,  117, 
AL, E3, 2010080600, 03, AP02,   0, 130N,  351W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP02,   6, 137N,  351W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP02,  12, 146N,  357W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP02,  18, 150N,  366W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,   0, 124N,  343W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,   6, 138N,  341W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  12, 144N,  344W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  18, 157N,  354W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  24, 167N,  370W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  30, 171N,  389W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  36, 182N,  407W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  42, 190N,  421W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  48, 193N,  436W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  54, 199N,  450W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  60, 207N,  468W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  66, 211N,  484W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  72, 218N,  496W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  78, 225N,  512W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  84, 231N,  530W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  90, 238N,  541W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03,  96, 241N,  548W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 102, 250N,  557W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 108, 255N,  569W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 114, 263N,  577W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 120, 267N,  581W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
