AL, 93, 2015110618, 03, LBAR,  24, 227N,  936W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  36, 241N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  48, 255N,  930W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  60, 272N,  919W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  72, 291N,  906W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  84, 313N,  889W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  96, 329N,  863W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR, 108, 350N,  829W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR, 120, 361N,  781W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,   0, 198N,  910W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  12, 212N,  926W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  24, 222N,  935W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  36, 227N,  937W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  48, 224N,  938W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  60, 221N,  942W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  72, 217N,  946W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  84, 212N,  953W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM,  96, 207N,  966W,  21,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM, 108, 206N,  985W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LGEM, 120, 211N, 1002W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,   0, 198N,  910W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  12, 206N,  927W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  24, 213N,  939W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  36, 219N,  946W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  48, 225N,  950W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  60, 231N,  944W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  72, 237N,  930W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  84, 240N,  920W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5,  96, 247N,  912W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5, 108, 254N,  902W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, OCD5, 120, 260N,  894W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, SHF5,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, SHF5,  24,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, SHF5,  36,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, SHF5,  48,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, SHF5,  60,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
