EP, 18, 2008080900, 03, AP02,   0, 124N, 1085W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,   6, 133N, 1084W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,  12, 141N, 1084W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,  18, 146N, 1090W,   9, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,  24, 138N, 1085W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,  30, 132N, 1084W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,  36, 131N, 1089W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP02,  42, 124N, 1093W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,   0, 111N, 1084W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,   6, 114N, 1084W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  12, 118N, 1092W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  18, 121N, 1099W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  24, 115N, 1097W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  30, 123N, 1105W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  36, 117N, 1107W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  42, 107N, 1103W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  48, 104N, 1107W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  54, 105N, 1115W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  60, 109N, 1124W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  66, 104N, 1126W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  72,  99N, 1125W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  78, 101N, 1137W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  84, 101N, 1139W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  90, 104N, 1152W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03,  96, 100N, 1149W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 102, 105N, 1158W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 108, 104N, 1162W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 114, 108N, 1165W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 120, 110N, 1171W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 126, 113N, 1178W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 132, 115N, 1173W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
